"SYSTEM", "1", "SYSTEM", "System Start", " "
"main", "91", "Dining/DiningProgrammers.java:13", "Method Returned", " "
"main", "92", "Dining/DiningProgrammers.java:13", "Line Step", " file=Dining/DiningProgrammers.java, line=13"
"main", "93", "Dining/DiningProgrammers.java:13", "Variable Write", " context=Dining.DiningProgrammers#main:1, p3=Dining.Programmer:3"
"main", "94", "Dining/DiningProgrammers.java:14", "Line Step", " file=Dining/DiningProgrammers.java, line=14"
"main", "95", "Dining/DiningProgrammers.java:14", "New Object", " object=Dining.Programmer:4"
"main", "96", "Dining/DiningProgrammers.java:14", "Method Call", " caller=Dining.DiningProgrammers#main:1, target=Dining.Programmer:4#Dining.Programmer:4"
"main", "97", "Dining/DiningProgrammers.java:28", "Method Entered", " "
"main", "98", "Dining/DiningProgrammers.java:28", "Variable Write", " context=Dining.Programmer:4#Dining.Programmer:4, name=""Stephen"""
"main", "99", "Dining/DiningProgrammers.java:28", "Variable Write", " context=Dining.Programmer:4#Dining.Programmer:4, fs=Dining.Forks:1"
"main", "100", "Dining/DiningProgrammers.java:28", "Line Step", " file=Dining/DiningProgrammers.java, line=28"
"main", "101", "Dining/DiningProgrammers.java:28", "Method Call", " caller=Dining.Programmer:4#Dining.Programmer:4, target=Dining.State:4#State:4"
"main", "102", "Dining/DiningProgrammers.java:81", "Method Entered", " "
"main", "103", "Dining/DiningProgrammers.java:81", "Line Step", " file=Dining/DiningProgrammers.java, line=81"
"main", "104", "Dining/DiningProgrammers.java:81", "Method Exit", " returner=Dining.State:4#State:4, value=<void>"
"main", "105", "Dining/DiningProgrammers.java:28", "Method Returned", " "
"main", "106", "Dining/DiningProgrammers.java:29", "Line Step", " file=Dining/DiningProgrammers.java, line=29"
"main", "107", "Dining/DiningProgrammers.java:29", "Field Write", " context=Dining.State:4, name=""Stephen"""
"main", "108", "Dining/DiningProgrammers.java:30", "Line Step", " file=Dining/DiningProgrammers.java, line=30"
"main", "109", "Dining/DiningProgrammers.java:30", "Field Write", " context=Dining.State:4, count=0"
"main", "110", "Dining/DiningProgrammers.java:31", "Line Step", " file=Dining/DiningProgrammers.java, line=31"
"main", "111", "Dining/DiningProgrammers.java:31", "Field Write", " context=Dining.Programmer:4, fs=Dining.Forks:1"
"main", "112", "Dining/DiningProgrammers.java:32", "Line Step", " file=Dining/DiningProgrammers.java, line=32"
"main", "113", "Dining/DiningProgrammers.java:32", "Method Exit", " returner=Dining.Programmer:4#Dining.Programmer:4, value=<void>"
"main", "114", "Dining/DiningProgrammers.java:14", "Method Returned", " "
"main", "115", "Dining/DiningProgrammers.java:14", "Line Step", " file=Dining/DiningProgrammers.java, line=14"
"main", "116", "Dining/DiningProgrammers.java:14", "Variable Write", " context=Dining.DiningProgrammers#main:1, p4=Dining.Programmer:4"
"main", "117", "Dining/DiningProgrammers.java:15", "Line Step", " file=Dining/DiningProgrammers.java, line=15"
"main", "118", "Dining/DiningProgrammers.java:15", "New Object", " object=Dining.Programmer:5"
"main", "119", "Dining/DiningProgrammers.java:15", "Method Call", " caller=Dining.DiningProgrammers#main:1, target=Dining.Programmer:5#Dining.Programmer:5"
"main", "120", "Dining/DiningProgrammers.java:28", "Method Entered", " "
"main", "121", "Dining/DiningProgrammers.java:28", "Variable Write", " context=Dining.Programmer:5#Dining.Programmer:5, name=""Wei"""
"main", "122", "Dining/DiningProgrammers.java:28", "Variable Write", " context=Dining.Programmer:5#Dining.Programmer:5, fs=Dining.Forks:1"
"main", "123", "Dining/DiningProgrammers.java:28", "Line Step", " file=Dining/DiningProgrammers.java, line=28"
"main", "124", "Dining/DiningProgrammers.java:28", "Method Call", " caller=Dining.Programmer:5#Dining.Programmer:5, target=Dining.State:5#State:5"
"main", "125", "Dining/DiningProgrammers.java:81", "Method Entered", " "
"main", "126", "Dining/DiningProgrammers.java:81", "Line Step", " file=Dining/DiningProgrammers.java, line=81"
"main", "127", "Dining/DiningProgrammers.java:81", "Method Exit", " returner=Dining.State:5#State:5, value=<void>"
"main", "128", "Dining/DiningProgrammers.java:28", "Method Returned", " "
"main", "129", "Dining/DiningProgrammers.java:29", "Line Step", " file=Dining/DiningProgrammers.java, line=29"
"main", "130", "Dining/DiningProgrammers.java:29", "Field Write", " context=Dining.State:5, name=""Wei"""
"main", "131", "Dining/DiningProgrammers.java:30", "Line Step", " file=Dining/DiningProgrammers.java, line=30"
"main", "132", "Dining/DiningProgrammers.java:30", "Field Write", " context=Dining.State:5, count=0"
"main", "133", "Dining/DiningProgrammers.java:31", "Line Step", " file=Dining/DiningProgrammers.java, line=31"
"main", "134", "Dining/DiningProgrammers.java:31", "Field Write", " context=Dining.Programmer:5, fs=Dining.Forks:1"
"main", "135", "Dining/DiningProgrammers.java:32", "Line Step", " file=Dining/DiningProgrammers.java, line=32"
"main", "136", "Dining/DiningProgrammers.java:32", "Method Exit", " returner=Dining.Programmer:5#Dining.Programmer:5, value=<void>"
"main", "137", "Dining/DiningProgrammers.java:15", "Method Returned", " "
"main", "138", "Dining/DiningProgrammers.java:15", "Line Step", " file=Dining/DiningProgrammers.java, line=15"
"main", "139", "Dining/DiningProgrammers.java:15", "Variable Write", " context=Dining.DiningProgrammers#main:1, p5=Dining.Programmer:5"
"main", "140", "Dining/DiningProgrammers.java:17", "Line Step", " file=Dining/DiningProgrammers.java, line=17"
"main", "141", "Dining/DiningProgrammers.java:18", "Line Step", " file=Dining/DiningProgrammers.java, line=18"
"Thread-0", "142", "SYSTEM", "Thread Start", " Thread-0 (67)"
"Thread-0", "143", "SYSTEM", "Method Call", " caller=SYSTEM, target=LDining/Programmer;.run()"
"Thread-0", "144", "SYSTEM", "Method Call", " caller=LDining/Programmer;.run(), target=Dining.Programmer:1#run:1"
"Thread-0", "145", "Dining/DiningProgrammers.java:35", "Method Entered", " "
"Thread-1", "146", "SYSTEM", "Thread Start", " Thread-1 (68)"
"Thread-1", "147", "SYSTEM", "Method Call", " caller=SYSTEM, target=LDining/Programmer;.run()"
"Thread-0", "148", "Dining/DiningProgrammers.java:37", "Method Call", " caller=Dining.Programmer:1#run:1, target=Dining.State:1#set_state:1"
"Thread-0", "149", "Dining/DiningProgrammers.java:85", "Method Entered", " "
"Thread-1", "150", "SYSTEM", "Method Call", " caller=LDining/Programmer;.run(), target=Dining.Programmer:2#run:2"
"Thread-1", "151", "Dining/DiningProgrammers.java:35", "Method Entered", " "
"Thread-0", "152", "Dining/DiningProgrammers.java:85", "Variable Write", " context=Dining.State:1#set_state:1, s=""C"""
"main", "153", "Dining/DiningProgrammers.java:19", "Line Step", " file=Dining/DiningProgrammers.java, line=19"
"Thread-1", "154", "Dining/DiningProgrammers.java:37", "Method Call", " caller=Dining.Programmer:2#run:2, target=Dining.State:2#set_state:2"
"Thread-1", "155", "Dining/DiningProgrammers.java:85", "Method Entered", " "
"Thread-0", "156", "Dining/DiningProgrammers.java:86", "Line Step", " file=Dining/DiningProgrammers.java, line=86"
"Thread-1", "157", "Dining/DiningProgrammers.java:85", "Variable Write", " context=Dining.State:2#set_state:2, s=""C"""
"Thread-0", "158", "Dining/DiningProgrammers.java:86", "Field Write", " context=Dining.State:1, state=""C"""
"Thread-2", "159", "SYSTEM", "Thread Start", " Thread-2 (70)"
"Thread-2", "160", "SYSTEM", "Method Call", " caller=SYSTEM, target=LDining/Programmer;.run()"
"Thread-1", "161", "Dining/DiningProgrammers.java:86", "Line Step", " file=Dining/DiningProgrammers.java, line=86"
"Thread-2", "162", "SYSTEM", "Method Call", " caller=LDining/Programmer;.run(), target=Dining.Programmer:3#run:3"
"Thread-2", "163", "Dining/DiningProgrammers.java:35", "Method Entered", " "
"main", "164", "Dining/DiningProgrammers.java:20", "Line Step", " file=Dining/DiningProgrammers.java, line=20"
"Thread-0", "165", "Dining/DiningProgrammers.java:88", "Line Step", " file=Dining/DiningProgrammers.java, line=88"
"Thread-1", "166", "Dining/DiningProgrammers.java:86", "Field Write", " context=Dining.State:2, state=""C"""
"Thread-2", "167", "Dining/DiningProgrammers.java:37", "Method Call", " caller=Dining.Programmer:3#run:3, target=Dining.State:3#set_state:3"
"Thread-2", "168", "Dining/DiningProgrammers.java:85", "Method Entered", " "
"Thread-0", "169", "Dining/DiningProgrammers.java:89", "Line Step", " file=Dining/DiningProgrammers.java, line=89"
"Thread-1", "170", "Dining/DiningProgrammers.java:88", "Line Step", " file=Dining/DiningProgrammers.java, line=88"
"Thread-2", "171", "Dining/DiningProgrammers.java:85", "Variable Write", " context=Dining.State:3#set_state:3, s=""C"""
"Thread-3", "172", "SYSTEM", "Thread Start", " Thread-3 (71)"
"Thread-3", "173", "SYSTEM", "Method Call", " caller=SYSTEM, target=LDining/Programmer;.run()"
"Thread-1", "174", "Dining/DiningProgrammers.java:89", "Line Step", " file=Dining/DiningProgrammers.java, line=89"
"Thread-0", "175", "Dining/DiningProgrammers.java:89", "Field Read", " context=Dining.State:1, name"
"Thread-2", "176", "Dining/DiningProgrammers.java:86", "Line Step", " file=Dining/DiningProgrammers.java, line=86"
"Thread-3", "177", "SYSTEM", "Method Call", " caller=LDining/Programmer;.run(), target=Dining.Programmer:4#run:4"
"Thread-3", "178", "Dining/DiningProgrammers.java:35", "Method Entered", " "
"main", "179", "Dining/DiningProgrammers.java:21", "Line Step", " file=Dining/DiningProgrammers.java, line=21"
"Thread-1", "180", "Dining/DiningProgrammers.java:89", "Field Read", " context=Dining.State:2, name"
"Thread-2", "181", "Dining/DiningProgrammers.java:86", "Field Write", " context=Dining.State:3, state=""C"""
"Thread-3", "182", "Dining/DiningProgrammers.java:37", "Method Call", " caller=Dining.Programmer:4#run:4, target=Dining.State:4#set_state:4"
"Thread-3", "183", "Dining/DiningProgrammers.java:85", "Method Entered", " "
"Thread-3", "184", "Dining/DiningProgrammers.java:85", "Variable Write", " context=Dining.State:4#set_state:4, s=""C"""
"Thread-2", "185", "Dining/DiningProgrammers.java:88", "Line Step", " file=Dining/DiningProgrammers.java, line=88"
"Thread-3", "186", "Dining/DiningProgrammers.java:86", "Line Step", " file=Dining/DiningProgrammers.java, line=86"
"Thread-0", "187", "Dining/DiningProgrammers.java:90", "Line Step", " file=Dining/DiningProgrammers.java, line=90"
"Thread-2", "188", "Dining/DiningProgrammers.java:89", "Line Step", " file=Dining/DiningProgrammers.java, line=89"
"Thread-3", "189", "Dining/DiningProgrammers.java:86", "Field Write", " context=Dining.State:4, state=""C"""
"Thread-2", "190", "Dining/DiningProgrammers.java:89", "Field Read", " context=Dining.State:3, name"
"Thread-3", "191", "Dining/DiningProgrammers.java:88", "Line Step", " file=Dining/DiningProgrammers.java, line=88"
"Thread-1", "192", "Dining/DiningProgrammers.java:90", "Line Step", " file=Dining/DiningProgrammers.java, line=90"
"Thread-4", "193", "SYSTEM", "Thread Start", " Thread-4 (72)"
"Thread-4", "194", "SYSTEM", "Method Call", " caller=SYSTEM, target=LDining/Programmer;.run()"
"Thread-3", "195", "Dining/DiningProgrammers.java:89", "Line Step", " file=Dining/DiningProgrammers.java, line=89"
"main", "196", "Dining/DiningProgrammers.java:22", "Line Step", " file=Dining/DiningProgrammers.java, line=22"
"Thread-4", "197", "SYSTEM", "Method Call", " caller=LDining/Programmer;.run(), target=Dining.Programmer:5#run:5"
"Thread-4", "198", "Dining/DiningProgrammers.java:35", "Method Entered", " "
"Thread-3", "199", "Dining/DiningProgrammers.java:89", "Field Read", " context=Dining.State:4, name"
"main", "200", "Dining/DiningProgrammers.java:22", "Method Exit", " returner=Dining.DiningProgrammers#main:1, value=<void>"
"Thread-2", "201", "Dining/DiningProgrammers.java:90", "Line Step", " file=Dining/DiningProgrammers.java, line=90"
"Thread-4", "202", "Dining/DiningProgrammers.java:37", "Method Call", " caller=Dining.Programmer:5#run:5, target=Dining.State:5#set_state:5"
"Thread-4", "203", "Dining/DiningProgrammers.java:85", "Method Entered", " "
"Thread-4", "204", "Dining/DiningProgrammers.java:85", "Variable Write", " context=Dining.State:5#set_state:5, s=""C"""
"Thread-4", "205", "Dining/DiningProgrammers.java:86", "Line Step", " file=Dining/DiningProgrammers.java, line=86"
"main", "206", "Dining/DiningProgrammers.java:9", "Method Returned", " "
"main", "207", "SYSTEM", "Thread End", " "
"Thread-3", "208", "Dining/DiningProgrammers.java:90", "Line Step", " file=Dining/DiningProgrammers.java, line=90"
"Thread-4", "209", "Dining/DiningProgrammers.java:86", "Field Write", " context=Dining.State:5, state=""C"""
"Thread-4", "210", "Dining/DiningProgrammers.java:88", "Line Step", " file=Dining/DiningProgrammers.java, line=88"
"Thread-4", "211", "Dining/DiningProgrammers.java:89", "Line Step", " file=Dining/DiningProgrammers.java, line=89"
"Thread-4", "212", "Dining/DiningProgrammers.java:89", "Field Read", " context=Dining.State:5, name"
"Thread-4", "213", "Dining/DiningProgrammers.java:90", "Line Step", " file=Dining/DiningProgrammers.java, line=90"
"Thread-2", "214", "Dining/DiningProgrammers.java:92", "Line Step", " file=Dining/DiningProgrammers.java, line=92"
"Thread-2", "215", "Dining/DiningProgrammers.java:96", "Line Step", " file=Dining/DiningProgrammers.java, line=96"
"Thread-0", "216", "Dining/DiningProgrammers.java:92", "Line Step", " file=Dining/DiningProgrammers.java, line=92"
"Thread-2", "217", "Dining/DiningProgrammers.java:103", "Line Step", " file=Dining/DiningProgrammers.java, line=103"
"Thread-2", "218", "Dining/DiningProgrammers.java:103", "Method Exit", " returner=Dining.State:3#set_state:3, value=<void>"
"Thread-0", "219", "Dining/DiningProgrammers.java:96", "Line Step", " file=Dining/DiningProgrammers.java, line=96"
"Thread-2", "220", "Dining/DiningProgrammers.java:37", "Method Returned", " "
"Thread-2", "221", "Dining/DiningProgrammers.java:38", "Line Step", " file=Dining/DiningProgrammers.java, line=38"
"Thread-0", "222", "Dining/DiningProgrammers.java:103", "Line Step", " file=Dining/DiningProgrammers.java, line=103"
"Thread-0", "223", "Dining/DiningProgrammers.java:103", "Method Exit", " returner=Dining.State:1#set_state:1, value=<void>"
"Thread-2", "224", "Dining/DiningProgrammers.java:38", "Variable Write", " context=Dining.Programmer:3#run:3, i=0"
"Thread-2", "225", "Dining/DiningProgrammers.java:39", "Line Step", " file=Dining/DiningProgrammers.java, line=39"
"Thread-0", "226", "Dining/DiningProgrammers.java:37", "Method Returned", " "
"Thread-0", "227", "Dining/DiningProgrammers.java:38", "Line Step", " file=Dining/DiningProgrammers.java, line=38"
"Thread-2", "228", "Dining/DiningProgrammers.java:39", "Field Read", " context=Dining.Programmer:3, fs"
"Thread-0", "229", "Dining/DiningProgrammers.java:38", "Variable Write", " context=Dining.Programmer:1#run:1, i=0"
"Thread-0", "230", "Dining/DiningProgrammers.java:39", "Line Step", " file=Dining/DiningProgrammers.java, line=39"
"Thread-2", "231", "Dining/DiningProgrammers.java:39", "Method Call", " caller=Dining.Programmer:3#run:3, target=Dining.Forks:1#pickup:1"
"Thread-2", "232", "Dining/DiningProgrammers.java:56", "Method Entered", " "
"Thread-0", "233", "Dining/DiningProgrammers.java:39", "Field Read", " context=Dining.Programmer:1, fs"
"Thread-2", "234", "Dining/DiningProgrammers.java:56", "Variable Write", " context=Dining.Forks:1#pickup:1, p=Dining.Programmer:3"
"Thread-2", "235", "Dining/DiningProgrammers.java:58", "Line Step", " file=Dining/DiningProgrammers.java, line=58"
"Thread-2", "236", "Dining/DiningProgrammers.java:58", "Field Read", " context=Dining.Forks:1, n"
"Thread-2", "237", "Dining/DiningProgrammers.java:58", "Field Read", " context=Dining.Forks:1, n"
"Thread-2", "238", "Dining/DiningProgrammers.java:66", "Line Step", " file=Dining/DiningProgrammers.java, line=66"
"Thread-2", "239", "Dining/DiningProgrammers.java:66", "Field Read", " context=Dining.Forks:1, n"
"Thread-2", "240", "Dining/DiningProgrammers.java:66", "Field Write", " context=Dining.Forks:1, n=4"
"Thread-2", "241", "Dining/DiningProgrammers.java:67", "Line Step", " file=Dining/DiningProgrammers.java, line=67"
"Thread-2", "242", "Dining/DiningProgrammers.java:67", "Field Read", " context=Dining.State:3, count"
"Thread-2", "243", "Dining/DiningProgrammers.java:67", "Field Write", " context=Dining.State:3, count=1"
"Thread-2", "244", "Dining/DiningProgrammers.java:68", "Line Step", " file=Dining/DiningProgrammers.java, line=68"
"Thread-2", "245", "Dining/DiningProgrammers.java:69", "Line Step", " file=Dining/DiningProgrammers.java, line=69"
"Thread-2", "246", "Dining/DiningProgrammers.java:69", "Method Exit", " returner=Dining.Forks:1#pickup:1, value=<void>"
"Thread-0", "247", "Dining/DiningProgrammers.java:39", "Method Call", " caller=Dining.Programmer:1#run:1, target=Dining.Forks:1#pickup:2"
"Thread-0", "248", "Dining/DiningProgrammers.java:56", "Method Entered", " "
"Thread-2", "249", "Dining/DiningProgrammers.java:39", "Method Returned", " "
"Thread-2", "250", "Dining/DiningProgrammers.java:40", "Line Step", " file=Dining/DiningProgrammers.java, line=40"
"Thread-0", "251", "Dining/DiningProgrammers.java:56", "Variable Write", " context=Dining.Forks:1#pickup:2, p=Dining.Programmer:1"
"Thread-0", "252", "Dining/DiningProgrammers.java:58", "Line Step", " file=Dining/DiningProgrammers.java, line=58"
"Thread-2", "253", "Dining/DiningProgrammers.java:40", "Method Call", " caller=Dining.Programmer:3#run:3, target=Dining.State:3#set_state:6"
"Thread-2", "254", "Dining/DiningProgrammers.java:85", "Method Entered", " "
"Thread-2", "255", "Dining/DiningProgrammers.java:85", "Variable Write", " context=Dining.State:3#set_state:6, s=""H"""
"Thread-0", "256", "Dining/DiningProgrammers.java:58", "Field Read", " context=Dining.Forks:1, n"
"Thread-0", "257", "Dining/DiningProgrammers.java:58", "Field Read", " context=Dining.Forks:1, n"
"Thread-2", "258", "Dining/DiningProgrammers.java:86", "Line Step", " file=Dining/DiningProgrammers.java, line=86"
"Thread-2", "259", "Dining/DiningProgrammers.java:86", "Field Write", " context=Dining.State:3, state=""H"""
"Thread-0", "260", "Dining/DiningProgrammers.java:66", "Line Step", " file=Dining/DiningProgrammers.java, line=66"
"Thread-1", "261", "Dining/DiningProgrammers.java:92", "Line Step", " file=Dining/DiningProgrammers.java, line=92"
"Thread-2", "262", "Dining/DiningProgrammers.java:88", "Line Step", " file=Dining/DiningProgrammers.java, line=88"
"Thread-0", "263", "Dining/DiningProgrammers.java:66", "Field Read", " context=Dining.Forks:1, n"
"Thread-1", "264", "Dining/DiningProgrammers.java:96", "Line Step", " file=Dining/DiningProgrammers.java, line=96"
"Thread-2", "265", "Dining/DiningProgrammers.java:92", "Line Step", " file=Dining/DiningProgrammers.java, line=92"
"Thread-0", "266", "Dining/DiningProgrammers.java:66", "Field Write", " context=Dining.Forks:1, n=3"
